id,frame,t,x,y,v,phi,phi_dot,a
18,251,10.0,217.76,34.63,40.74004418259754,0.0060974854076807,,0.2121320343559642
20,251,10.0,91.13,34.7,23.82005247685236,0.0,,0.0412310562561766
22,251,10.0,58.84,34.89,23.310308878262425,-0.0106378965755393,,0.2624880949681337
23,251,10.0,85.36,30.69,36.45019753032897,0.0068026161548074,,0.131529464379659
24,251,10.0,32.66,34.68,23.75,0,0,0
26,251,10.0,23.78,30.77,37.97029628538603,0.0065358546459321,,0.3176476034853718
40,251,10.0,406.72,42.15,41.33184002678807,-3.1415926536,,-0.3862641583
41,251,10.0,328.53,53.39,23.830102811360256,-3.1415926536,,-0.0640312424
44,251,10.0,267.19,43.86,23.46001918157784,-3.1415926536,,-0.0223606798
45,251,10.0,406.54,44.64,38.69068363314352,-3.1415926536,,-0.2370653918
18,252,10.04,219.4,34.64,40.7500441717552,0.0,-0.1524371351920185,0.2121320343559642
20,252,10.04,92.08,34.7,23.810052498892144,-0.0105259270317307,-0.2631481757932692,0.0412310562561766
22,252,10.04,59.78,34.88,23.32036234709916,0.0,0.2659474143884838,0.2624880949681337
23,252,10.04,86.83,30.7,36.44019758453568,0.0,-0.1700654038701866,0.1414213562373095
24,252,10.04,33.61,34.68,23.75,0,-0.066136949,-1.5583664311
26,252,10.04,25.31,30.78,37.98025802966588,0.0,-0.1633963661483043,0.3138470965295043
40,252,10.04,405.08,42.17,41.3317468781565,3.1293981361,0.1542623483,-0.3862641583
41,252,10.04,327.58,53.38,23.830102811360256,-3.1310667266,-0.2631481758,-0.0640312424
44,252,10.04,266.25,43.86,23.46001918157784,-3.1415926536,0.2659474144,-0.0223606798
45,252,10.04,404.99,44.65,38.690625479565455,3.1351411302,-0.0010472959,-0.2370653918
18,253,10.08,221.03,34.64,40.76004416091818,0.0,0.0,0.2137755832643194
20,253,10.08,93.03,34.69,23.810052498892144,0.0,0.2631481757932692,0.0412310562561766
22,253,10.08,60.73,34.88,23.330362191787763,-0.0106378965755468,-0.2659474143886707,0.2596150997149434
23,253,10.08,88.28,30.7,36.44019758453568,0.0068492079639361,0.1712301990984037,0.1513274595042155
24,253,10.08,34.56,34.68,23.6253306855,-0.0052909559,-0.0664887346,-3.1208444443
