Algorithm,Run,RunMinDistance,SafetyViolation,Collision,TotalQSigmaInvStageCost,RunMaxComputeTimeMs
MPPI,0,1.0687029361724854,0.0,0.0,45812.45793731029,71.06434200068179
MPPI,1,1.085853099822998,0.0,0.0,46576.69369676889,63.55675099985092
MPPI,2,1.0536831617355347,0.0,0.0,44846.987484797166,63.372137999976985
MPPI,3,1.0611400604248047,0.0,0.0,46040.419092825374,63.44086100034474
MPPI,4,1.0852171182632446,0.0,0.0,45416.348676603084,63.65220499901625
RAMPPI,0,1.0641989707946777,0.0,0.0,41717.09889709509,73.39262099958432
RAMPPI,1,1.0534381866455078,0.0,0.0,40568.62218844118,68.06142900131817
RAMPPI,2,1.0756518840789795,0.0,0.0,42976.78909138017,67.42905800092558
RAMPPI,3,1.0439488887786865,0.0,0.0,42301.496129933366,67.75322999965283
RAMPPI,4,1.107553243637085,0.0,0.0,44710.03085655264,68.08380700022099
DRMPPI,0,0.5784765481948853,0.0,0.0,160645.54347833726,88.89099199950579
DRMPPI,1,1.0777980089187622,0.0,0.0,89646.68969843161,67.46508699870901
DRMPPI,2,1.059139370918274,0.0,0.0,146570.89197535175,67.69202600116841
DRMPPI,3,1.1756035089492798,0.0,0.0,98669.55771355833,67.52424800106382
DRMPPI,4,1.082553744316101,0.0,0.0,158167.65456415893,67.80771200101299
DRAMPPI,0,1.201549768447876,0.0,0.0,160788.88125889582,129.82925700089254
DRAMPPI,1,1.2157726287841797,0.0,0.0,155535.2392421174,129.84365000011167
DRAMPPI,2,1.2098876237869263,0.0,0.0,155986.14410089338,130.3682449997723
DRAMPPI,3,1.2666007280349731,0.0,0.0,157199.4613904698,129.54263800020271
DRAMPPI,4,1.1979650259017944,0.0,0.0,152558.8083677788,137.48673800000688
