epsilon,Run,Seed,RunMinDistance,SafetyViolation,Collision,RunMaxComputeTimeMs
0.0005,0,1501552845,0.06825781015139505,1.0,1.0,270.47099999617785
0.0005,1,488200390,0.07653695067474407,1.0,1.0,171.1673309910111
0.0005,2,1693606510,0.07152822417220064,1.0,1.0,172.31586697744206
0.0005,3,680233354,0.07736586415855141,1.0,1.0,173.6807280103676
0.0005,4,438466540,0.07638992772528462,1.0,1.0,174.95468497509137
0.0005,5,1712329280,0.07968229683859629,1.0,1.0,172.7735349559225
0.0005,6,1380152455,0.07535951038497586,1.0,1.0,175.38190499180928
0.0005,7,1452245846,0.0781031144451593,1.0,1.0,174.91675302153453
0.0005,8,2122694021,0.08026578690972513,0.0,0.0,175.14726403169334
0.0005,9,839901363,0.07896629668253008,1.0,1.0,175.14709098031744
0.0005,10,1802651552,0.07191090149191937,1.0,1.0,175.30901898862794
0.0005,11,714712467,0.07691899476943227,1.0,1.0,175.62451399862766
0.0005,12,1218704077,0.06716730913924618,1.0,1.0,175.26652902597561
0.0005,13,1284858263,0.07479555045980674,1.0,1.0,174.46955997729674
0.0005,14,457721135,0.07079404181318573,1.0,1.0,174.23131398390979
0.0005,15,401008609,0.07272390256779289,1.0,1.0,173.77551802201197
0.0005,16,492064534,0.07098072403521943,1.0,1.0,173.49348502466455
0.0005,17,1444732602,0.08425193235001863,0.0,0.0,173.75774995889515
0.0005,18,1317426686,0.06378446352610441,1.0,1.0,174.59051398327574
0.0005,19,2022506251,0.0805236417704192,0.0,0.0,175.03039294388145
0.0005,20,1516459118,0.0703690103255086,1.0,1.0,171.34993302170187
0.0005,21,533103612,0.06873118294008208,1.0,1.0,175.17782404320315
0.0005,22,1964759878,0.07885931657098669,1.0,1.0,174.09363796468824
0.0005,23,2037706756,0.07289337017079994,1.0,1.0,175.17548199975863
0.0005,24,1572889065,0.06904512471169715,1.0,1.0,175.09183497168124
0.0005,25,1432881518,0.07446095964674732,1.0,1.0,174.69043302116916
0.0005,26,280516901,0.06873613973077367,1.0,1.0,174.5352249708958
0.0005,27,205939248,0.07343127781281683,1.0,1.0,173.58695302391425
0.0005,28,571904914,0.0783482245292731,1.0,1.0,175.6633180193603
0.0005,29,948843457,0.07613389297950607,1.0,1.0,174.83937897486612
0.0005,30,155492488,0.07090739025461235,1.0,1.0,174.48534595314413
0.0005,31,1903701130,0.06724813966985511,1.0,1.0,174.6145139914006
0.0005,32,1017961266,0.07200572122104369,1.0,1.0,175.12371396878734
0.0005,33,1497769985,0.06754361624890168,1.0,1.0,175.2587939845398
0.0005,34,456523489,0.07255626666352984,1.0,1.0,175.0086609972641
0.0005,35,701095136,0.08213121279321482,0.0,0.0,175.0541800283827
0.0005,36,249069576,0.08159960912577213,0.0,0.0,175.1407939591445
0.0005,37,1576098728,0.07451474252519652,1.0,1.0,175.03503599436954
0.0005,38,1662748500,0.0809491989630542,0.0,0.0,174.04076596722007
0.0005,39,472736216,0.07509667345370442,1.0,1.0,83.14532396616414
0.0005,40,1535411295,0.07451723550841925,1.0,1.0,83.18719698581845
0.0005,41,175223003,0.07735046888721177,1.0,1.0,83.22829904500395
0.0005,42,840936862,0.07364107979138165,1.0,1.0,83.12587399268523
0.0005,43,343373188,0.07475404370608865,1.0,1.0,235.17495597479865
0.0005,44,1597751082,0.0703155976381927,1.0,1.0,241.89848901005462
0.0005,45,730359585,0.07064793164457157,1.0,1.0,229.53772195614874
0.0005,46,1016641002,0.07664678746708681,1.0,1.0,225.50303395837545
0.0005,47,998994690,0.07292729458459911,1.0,1.0,236.52443394530565
0.0005,48,1021240743,0.07530249738026817,1.0,1.0,240.32791994977742
0.0005,49,572134801,0.07699247048605291,1.0,1.0,245.91669801156968
0.0005,50,1198399760,0.07593878039317739,1.0,1.0,230.06883700145409
0.0005,51,1751866485,0.07658893687895212,1.0,1.0,241.47640500450507
0.0005,52,1070889713,0.07714124368989042,1.0,1.0,239.83078397577628
0.0005,53,415096539,0.07408051320759777,1.0,1.0,197.2706780070439
0.0005,54,52416235,0.08128470898941645,0.0,0.0,233.8612879975699
0.0005,55,278032723,0.0772877415116093,1.0,1.0,240.2739980025217
0.0005,56,174946158,0.07485836739243723,1.0,1.0,197.53858901094645
0.0005,57,196848554,0.06269010291956925,1.0,1.0,239.55772502813488
0.0005,58,263030910,0.07032087343983226,1.0,1.0,237.6293310080655
0.0005,59,1285415020,0.08190588072368227,0.0,0.0,157.51651104073972
0.0005,60,1733223444,0.06807925183639028,1.0,1.0,249.91218402283266
0.0005,61,1835544261,0.07821382793502625,1.0,1.0,233.99094998603687
0.0005,62,1403186970,0.07729066566893578,1.0,1.0,157.5355040258728
0.0005,63,1291971777,0.07234523451018111,1.0,1.0,223.3269570278935
0.0005,64,712292067,0.07443966328938782,1.0,1.0,241.40103696845472
0.0005,65,2001429764,0.06877089064979951,1.0,1.0,197.479636000935
0.0005,66,1375664061,0.07648691011265332,1.0,1.0,241.3044319837354
0.0005,67,1556456120,0.07977710961781245,1.0,1.0,237.7806399599649
0.0005,68,1576053187,0.07161544669637622,1.0,1.0,199.4686119724065
0.0005,69,1848019881,0.07729340763527554,1.0,1.0,245.97360903862864
0.0005,70,1508652585,0.06859043327967712,1.0,1.0,227.49817499425262
0.0005,71,1995737731,0.07999819542357213,1.0,1.0,228.93883101642132
0.0005,72,1162788447,0.07394389829718857,1.0,1.0,213.45888398354873
0.0005,73,1172925522,0.07567170592221596,1.0,1.0,237.58968798210844
0.0005,74,539174575,0.07156764621315605,1.0,1.0,215.87402996374294
0.0005,75,2013637345,0.06902861916042648,1.0,1.0,157.74891601176932
0.0005,76,1187468716,0.0705747479636634,1.0,1.0,243.8388679875061
0.0005,77,1062978506,0.08100517772684579,0.0,0.0,234.98460202245042
0.0005,78,679326770,0.0732307896097753,1.0,1.0,195.36358298501
0.0005,79,587923432,0.07248994110680186,1.0,1.0,223.8702560425736
0.0005,80,1359889667,0.08308939637666284,0.0,0.0,238.25771099654958
0.0005,81,970187386,0.06781943036593874,1.0,1.0,221.79967403644696
0.0005,82,1219839873,0.0740925952269379,1.0,1.0,157.52318600425497
0.0005,83,1428160212,0.07171944315300258,1.0,1.0,236.10319703584537
0.0005,84,1930609499,0.08179202702774853,0.0,0.0,243.3754230150953
0.0005,85,710582861,0.0832382112731097,0.0,0.0,198.58277402818203
0.0005,86,1463614337,0.07042742859619146,1.0,1.0,234.18505501467735
0.0005,87,1940152705,0.07627865014409983,1.0,1.0,241.94803601130843
0.0005,88,985452196,0.07550899789555632,1.0,1.0,235.31681299209595
0.0005,89,552062587,0.07304585708946962,1.0,1.0,157.4341679806821
0.0005,90,623566272,0.06946144020071397,1.0,1.0,211.1059910384938
0.0005,91,729775797,0.07827030360075726,1.0,1.0,239.20945002464578
0.0005,92,1352536665,0.0800721743344814,0.0,0.0,236.89938598545268
0.0005,93,555883440,0.07942971096507383,1.0,1.0,211.0459510004148
0.0005,94,1801800003,0.06630021413189605,1.0,1.0,227.76744404109195
0.0005,95,763315502,0.07421595847938674,1.0,1.0,240.95651204697788
0.0005,96,138897982,0.0735704293974811,1.0,1.0,225.34003702457994
0.0005,97,10785379,0.06915656484731617,1.0,1.0,218.7484939931892
0.0005,98,53923185,0.06519034579679944,1.0,1.0,237.33875702600926
0.0005,99,1349917978,0.07068784157594288,1.0,1.0,237.04216798068956
0.002,0,1501552845,0.08128395595904604,0.0,0.0,320.65906998468563
0.002,1,488200390,0.07904320204333748,1.0,1.0,171.61242896690965
0.002,2,1693606510,0.08228664029516708,0.0,0.0,173.4412660007365
0.002,3,680233354,0.08979406230620017,0.0,0.0,173.80858602700755
0.002,4,438466540,0.08708658909898695,0.0,0.0,174.9912790255621
0.002,5,1712329280,0.08596298114113406,0.0,0.0,172.49028501100838
0.002,6,1380152455,0.08585945289262192,0.0,0.0,175.0125619582832
0.002,7,1452245846,0.08993651598389503,0.0,0.0,174.72331604221836
0.002,8,2122694021,0.08723310147833328,0.0,0.0,175.12361996341497
0.002,9,839901363,0.08467305681605669,0.0,0.0,175.0263260328211
0.002,10,1802651552,0.08275139815996758,0.0,0.0,174.23507705098018
0.002,11,714712467,0.08761795988274737,0.0,0.0,175.66807998809963
0.002,12,1218704077,0.08207586916481038,0.0,0.0,175.66013103350997
0.002,13,1284858263,0.08342421253759316,0.0,0.0,174.95945596601814
0.002,14,457721135,0.0895572929800164,0.0,0.0,174.96649199165404
0.002,15,401008609,0.08772217422679374,0.0,0.0,174.1487059625797
0.002,16,492064534,0.0790714546379979,1.0,1.0,174.1598200169392
0.002,17,1444732602,0.09393631359427683,0.0,0.0,173.85975498473272
0.002,18,1317426686,0.07593674576148843,1.0,1.0,174.55717700067908
0.002,19,2022506251,0.09039661588752446,0.0,0.0,175.38031400181353
0.002,20,1516459118,0.0785653060395877,1.0,1.0,171.19059601100162
0.002,21,533103612,0.07904039494130573,1.0,1.0,175.20027502905577
0.002,22,1964759878,0.09171943058873865,0.0,0.0,174.1412749979645
0.002,23,2037706756,0.08488371895146596,0.0,0.0,174.7412090189755
0.002,24,1572889065,0.08180789907244909,0.0,0.0,175.50774797564372
0.002,25,1432881518,0.09215452655653142,0.0,0.0,174.66103902552277
0.002,26,280516901,0.08024741835956499,0.0,0.0,174.58247003378347
0.002,27,205939248,0.07931223006382201,1.0,1.0,173.81450202083215
0.002,28,571904914,0.08798529809382162,0.0,0.0,175.3191840252839
0.002,29,948843457,0.0871501157291609,0.0,0.0,175.56409997632727
0.002,30,155492488,0.08351659776322898,0.0,0.0,174.9296230264008
0.002,31,1903701130,0.07686791636700557,1.0,1.0,174.64541899971664
0.002,32,1017961266,0.08363519323442976,0.0,0.0,175.14273599954322
0.002,33,1497769985,0.07959805869969673,1.0,1.0,175.3043300122954
0.002,34,456523489,0.08622986906991663,0.0,0.0,175.02602201420814
0.002,35,701095136,0.08934902306662645,0.0,0.0,174.84847299056128
0.002,36,249069576,0.08905160708795704,0.0,0.0,175.12843199074268
0.002,37,1576098728,0.08758702476521966,0.0,0.0,175.15581095358357
0.002,38,1662748500,0.09231961162470122,0.0,0.0,174.95912895537913
0.002,39,472736216,0.08774073982149293,0.0,0.0,83.13018002081662
0.002,40,1535411295,0.0877985758796999,0.0,0.0,83.20464700227603
0.002,41,175223003,0.089001204257543,0.0,0.0,83.22612900519744
0.002,42,840936862,0.08379652323745392,0.0,0.0,83.15492304973304
0.002,43,343373188,0.0850776538309763,0.0,0.0,235.18215998774394
0.002,44,1597751082,0.078098821518932,1.0,1.0,243.55508299777284
0.002,45,730359585,0.08261254101358248,0.0,0.0,226.4889880316332
0.002,46,1016641002,0.08984971626194228,0.0,0.0,227.7744309976697
0.002,47,998994690,0.08198830040534043,0.0,0.0,239.90483803208917
0.002,48,1021240743,0.0825335237097255,0.0,0.0,240.34373299218714
0.002,49,572134801,0.08842384336159209,0.0,0.0,246.49912200402468
0.002,50,1198399760,0.0860899652859469,0.0,0.0,230.67077400628477
0.002,51,1751866485,0.08975177098709733,0.0,0.0,242.00178298633546
0.002,52,1070889713,0.08789882979162107,0.0,0.0,241.87715200241655
