epsilon,moving_obstacle_index,collision_prob
0.0,0,0.0
0.0,1,0.0
0.0,2,0.06
0.0,3,0.0
0.005,0,0.0
0.005,1,0.0
0.005,2,0.16
0.005,3,0.0
0.01,0,0.0
0.01,1,0.0
0.01,2,0.22
0.01,3,0.0
0.015,0,0.0
0.015,1,0.0
0.015,2,0.4
0.015,3,0.0
0.02,0,0.0
0.02,1,0.0
0.02,2,0.45
0.02,3,0.0
0.025,0,0.0
0.025,1,0.0
0.025,2,0.5
0.025,3,0.0
0.03,0,0.0
0.03,1,0.0
0.03,2,0.52
0.03,3,0.0
0.035,0,0.0
0.035,1,0.0
0.035,2,0.52
0.035,3,0.0
0.04,0,0.0
0.04,1,0.0
0.04,2,0.59
0.04,3,0.0
0.045,0,0.0
0.045,1,0.0
0.045,2,0.52
0.045,3,0.0
0.05,0,0.0
0.05,1,0.0
0.05,2,0.58
0.05,3,0.0
0.055,0,0.0
0.055,1,0.0
0.055,2,0.62
0.055,3,0.0
0.06,0,0.0
0.06,1,0.0
0.06,2,0.54
0.06,3,0.0
0.065,0,0.0
0.065,1,0.0
0.065,2,0.59
0.065,3,0.0
0.07,0,0.0
0.07,1,0.0
0.07,2,0.6
0.07,3,0.0
0.075,0,0.0
0.075,1,0.0
0.075,2,0.64
0.075,3,0.0
0.08,0,0.0
0.08,1,0.0
0.08,2,0.62
0.08,3,0.0
0.085,0,0.0
0.085,1,0.0
0.085,2,0.7
0.085,3,0.0
0.09,0,0.0
0.09,1,0.0
0.09,2,0.69
0.09,3,0.0
0.1,0,0.0
0.1,1,0.0
0.1,2,0.73
0.1,3,0.0
0.095,0,0.0
0.095,1,0.0
0.095,2,0.73
0.095,3,0.0
0.105,0,0.0
0.105,1,0.0
0.105,2,0.74
0.105,3,0.0
0.11,0,0.0
0.11,1,0.0
0.11,2,0.74
0.11,3,0.0
0.115,0,0.0
0.115,1,0.0
0.115,2,0.72
0.115,3,0.0
0.12,0,0.0
0.12,1,0.0
0.12,2,0.81
0.12,3,0.0
0.125,0,0.0
0.125,1,0.0
0.125,2,0.74
0.125,3,0.0
0.13,0,0.0
0.13,1,0.0
0.13,2,0.76
0.13,3,0.0
0.135,0,0.0
0.135,1,0.0
0.135,2,0.76
0.135,3,0.0
0.14,0,0.0
0.14,1,0.0
0.14,2,0.72
0.14,3,0.0
0.145,0,0.0
0.145,1,0.0
0.145,2,0.79
0.145,3,0.0
0.15,0,0.0
0.15,1,0.0
0.15,2,0.79
0.15,3,0.0
0.155,0,0.0
0.155,1,0.0
0.155,2,0.83
0.155,3,0.0
0.16,0,0.0
0.16,1,0.0
0.16,2,0.83
0.16,3,0.0
