epsilon,collision_prob,collision_free_prob,safety_violation_prob,run_min_distance_min,run_min_distance_mean,run_min_distance_std,run_max_compute_time_ms_mean,run_max_compute_time_ms_std
0.0,0.59,0.41000000000000003,0.59,0.5589996205095799,0.7092701490015751,0.09125482914367222,381.80324183776975,83.40982389781401
0.025,0.26,0.74,0.26,0.5641267306599861,0.7375961003318574,0.07065330752928259,360.08357115788385,103.12169934948437
0.015,0.48,0.52,0.48,0.5667543947191661,0.7147305355677266,0.06798849029350204,368.92719092895277,98.629204672362
0.01,0.43,0.5700000000000001,0.43,0.5555308469187844,0.7193993262955902,0.08354074063726365,375.64116414636374,93.85528844684445
0.05,0.54,0.45999999999999996,0.54,0.48019116603616935,0.699854961362641,0.10579019658500415,391.92162591964006,81.37417969609834
0.07,0.51,0.49,0.51,0.4472843419879722,0.7011714953526598,0.11423677799648194,396.43412651959807,73.23311647743982
0.005,0.3,0.7,0.3,0.5845016801408058,0.7624997864170757,0.09353356602799566,403.8474133145064,67.30127572306952
0.035,0.56,0.43999999999999995,0.56,0.45302570080717275,0.6788217242712961,0.1053946708997653,387.16196230612695,86.62688351456846
0.02,0.39,0.61,0.39,0.6110382867661149,0.7407841957289643,0.07286597048384748,366.4296288334299,102.92532780832884
0.03,0.41,0.5900000000000001,0.41,0.5260506982477305,0.7118760759567201,0.0949014390516167,400.63386173336767,69.39229522391176
0.06,0.51,0.49,0.51,0.44876102855848066,0.7005807344708562,0.11750285760004579,377.85663448041305,95.15329126070303
0.04,0.58,0.42000000000000004,0.58,0.49989223640727143,0.6879588927801852,0.1028372842928384,405.4763256199658,65.86296463537641
0.055,0.5,0.5,0.5,0.44820725805202855,0.6973963695459904,0.11513581663748106,396.93641629302874,77.39802587349652
0.065,0.53,0.47,0.53,0.47521988204536314,0.6979660160697478,0.1175756489910781,396.1961472441908,77.07954539216216
0.045,0.52,0.48,0.52,0.5060919496459045,0.7006343402457402,0.1042014146679405,403.85097413207404,60.35552557620283
0.085,0.52,0.48,0.52,0.5061960886361802,0.6930293330846036,0.11857549902192675,342.17535599367693,107.60379503332308
0.075,0.5,0.5,0.5,0.48216648203835877,0.6955586208172406,0.12007975317200927,391.9141902041156,70.5240847204137
0.08,0.52,0.48,0.52,0.47030611845085357,0.6941010177489676,0.12055694660835627,401.5442762582097,67.11312372870368
0.105,0.58,0.42000000000000004,0.58,0.44687799432847813,0.6745540466331993,0.10285685747346707,348.0700877751224,106.25205493327366
0.12,0.69,0.31000000000000005,0.69,0.4535720879897973,0.6636808178197013,0.10099095668271184,375.7133924262598,91.52956892142618
