epsilon,collision_prob,collision_free_prob,safety_violation_prob,run_min_distance_min,run_min_distance_mean,run_min_distance_std,total_qr_cost_mean,total_qr_cost_std,run_max_compute_time_ms_mean,run_max_compute_time_ms_std
0.0,0.74,0.26,0.74,-0.1783265471458435,-0.0403551131510175,0.0665874142386636,6.199552765956614,0.2922921273437299,141.28750854017198,5.393632622338895
0.002,0.7,0.3,0.7,-0.1977427750825882,-0.0443646302627166,0.0688116561172995,6.210718053751625,0.2876869400703756,143.9476838999144,7.983485361910892
0.004,0.71,0.29,0.71,-0.2726059556007385,-0.051819551475346,0.0850637817464398,6.264323950823163,0.3505078652543668,142.42485438004223,5.646464565620772
0.006,0.72,0.28,0.72,-0.2164112031459808,-0.0538593719722121,0.0696657465311417,6.167239887194009,0.3625521112760964,143.1540155399489,6.846855798888583
0.008,0.78,0.2199999999999999,0.78,-0.3000000119209289,-0.0458604451455175,0.0739731081273111,6.172082821764052,0.3899624270730026,141.04470193011366,3.631972121652363
0.01,0.73,0.27,0.73,-0.23891481757164,-0.0418320327397668,0.0679511929801087,6.186215221225284,0.3349754935764488,141.0597850301565,4.502039415671391
0.012,0.75,0.25,0.75,-0.2298540323972702,-0.0454206937836716,0.0676055983569698,6.306849531264743,0.2982897266114549,141.83037407001393,4.561312262688986
0.014,0.69,0.31,0.69,-0.1870679557323455,-0.0306681663381459,0.06485851850202,6.3485961097897965,0.3275078279597482,140.50034309002513,5.082940960457864
0.016,0.67,0.3299999999999999,0.67,-0.3000000119209289,-0.0474090178520418,0.0813311739993837,6.335546488079708,0.3444964771494451,141.61368995013618,5.192249546902285
0.018,0.78,0.2199999999999999,0.78,-0.2269052267074585,-0.0532978225115221,0.0705151849365948,6.405246454365551,0.312924102592623,141.27530754987674,5.003816644755901
0.02,0.76,0.24,0.76,-0.3000000119209289,-0.0474558029265608,0.0764468544131834,6.403523349555908,0.3490326630501156,142.87077406996104,7.1713286113378345
0.022,0.67,0.3299999999999999,0.67,-0.2294002622365951,-0.037623356309341,0.0803080174905518,6.468322600614047,0.4448152568836055,142.17235441996309,5.547686812677861
0.024,0.69,0.31,0.69,-0.1986884325742721,-0.0352926187810953,0.0823183055274829,6.460258326397743,0.353724438221294,145.8541274900199,8.212735393886701
0.026,0.64,0.36,0.64,-0.2344692051410675,-0.0258440875587984,0.0957093454244767,6.463357694108272,0.3635761399930488,141.79752296018705,6.301659142839415
0.028,0.63,0.37,0.63,-0.2154949009418487,-0.0286744921116041,0.1070082087862472,6.465184776932001,0.4002509906122591,141.34970490988053,5.725255089129454
0.03,0.67,0.3299999999999999,0.67,-0.2676053643226623,-0.0305767800030298,0.1122272963547049,6.499141406952403,0.405195338469907,139.51815483997052,4.203935608523982
