epsilon,Run,Seed,RunMinDistance,SafetyViolation,Collision,TotalQRCost,RunMaxComputeTimeMs
0.0,0,1501552845,-0.25290143489837646,1.0,1.0,8.13300216034986,58.89883288182318
0.0,1,488200390,-0.10239277780056,1.0,1.0,7.37851665483322,48.95739885978401
0.0,2,1693606510,-0.10479193925857544,1.0,1.0,7.80766366282478,48.71726222336292
0.0,3,680233354,-0.08243786543607712,1.0,1.0,7.52404981746804,47.63124417513609
0.0,4,438466540,0.07112184911966324,0.0,0.0,6.619021758087911,48.008081037551165
0.0,5,1712329280,0.14788609743118286,0.0,0.0,6.702779930201359,47.5671230815351
0.0,6,1380152455,0.031730394810438156,0.0,0.0,6.801987248007208,48.64205699414015
0.0,7,1452245846,0.04806732386350632,0.0,0.0,6.771960770478472,48.825331032276154
0.0,8,2122694021,0.058778345584869385,0.0,0.0,6.834504141123034,49.40916202031076
0.0,9,839901363,-0.10693556815385818,1.0,1.0,7.287728285416961,49.52071188017726
0.0,10,1802651552,0.06588871031999588,0.0,0.0,6.83959416707512,48.734272830188274
0.0,11,714712467,-0.10341410338878632,1.0,1.0,7.585917621734552,50.18331506289542
0.0,12,1218704077,0.004170715343207121,0.0,0.0,7.058836221229285,49.06005202792585
0.0,13,1284858263,-0.034542106091976166,1.0,1.0,6.303012672695331,49.01965404860675
0.0,14,457721135,-0.03646349534392357,1.0,1.0,6.910341519047506,49.424976110458374
0.0,15,401008609,-0.09025123715400696,1.0,1.0,7.597953261225484,49.353640992194414
0.0,16,492064534,-0.13534732162952423,1.0,1.0,7.29053744347766,50.01996411010623
0.0,17,1444732602,-0.0022536166943609715,1.0,1.0,7.023996305651963,48.07664384134114
0.0,18,1317426686,-0.08893844485282898,1.0,1.0,7.338623957708478,48.590535996481776
0.0,19,2022506251,-0.07812534272670746,1.0,1.0,6.7684046438662335,47.83804900944233
0.0,20,1516459118,-0.115386001765728,1.0,1.0,7.3638039662037045,47.92215791530907
0.0,21,533103612,0.05143449828028679,0.0,0.0,7.060741192894056,47.37780801951885
0.0,22,1964759878,-0.10237161070108414,1.0,1.0,7.5508423841092736,48.17476193420589
0.0,23,2037706756,-0.030446559190750122,1.0,1.0,6.488099711132236,47.63176594860852
0.0,24,1572889065,0.01288631372153759,0.0,0.0,6.667919441824779,45.92579905875027
0.0,25,1432881518,0.019227372482419014,0.0,0.0,6.9340039156377316,46.17121000774205
0.0,26,280516901,0.08153064548969269,0.0,0.0,6.7433250829344615,46.48740985430777
0.0,27,205939248,0.06223521754145622,0.0,0.0,6.816759949317202,47.62893496081233
0.0,28,571904914,-0.09396330267190933,1.0,1.0,7.612081709201448,49.04384887777269
0.0,29,948843457,0.01789509505033493,0.0,0.0,7.135149177047424,56.13371916115284
0.0,30,155492488,0.040475111454725266,0.0,0.0,6.615927776554599,46.65710194967687
0.0,31,1903701130,0.027571778744459152,0.0,0.0,7.016417802777141,48.970264848321676
0.0,32,1017961266,-0.008389739319682121,1.0,1.0,6.792281277244911,48.63088810816407
0.0,33,1497769985,-0.20286807417869568,1.0,1.0,7.678204589756206,48.55382512323558
0.0,34,456523489,-0.1020207405090332,1.0,1.0,7.553031074814498,48.45903697423637
0.0,35,701095136,0.07004188746213913,0.0,0.0,6.806373595725745,47.17281996272504
0.0,36,249069576,-0.05574527382850647,1.0,1.0,6.6248963080579415,47.61288408190012
0.0,37,1576098728,-0.12383624911308289,1.0,1.0,7.353931053774431,47.11865494027734
0.0,38,1662748500,-0.10675321519374847,1.0,1.0,7.485441407188773,46.848037047311664
0.0,39,472736216,0.029899166896939278,0.0,0.0,7.074981854297221,47.34249785542488
