Algorithm,Run,RunMinDistance,SafetyViolation,Collision,TotalQSigmaInvStageCost,RunMaxComputeTimeMs
MPPI,0,0.06370945274829865,1.0,1.0,5.263874456170015,19.804412997473264
MPPI,1,0.3096628785133362,1.0,1.0,5.768086597672664,10.349757998483256
MPPI,2,0.05789726972579956,1.0,1.0,5.354055152041838,11.67180499760434
MPPI,3,0.0782790333032608,1.0,1.0,5.338466885033995,16.26880500043626
MPPI,4,0.12270692735910416,1.0,1.0,5.3153889327077195,13.380250002228422
MPPI,5,0.12167041748762131,1.0,1.0,5.443686053506099,12.274405002244748
MPPI,6,0.11126408725976944,1.0,1.0,5.480901982053183,12.768622000294272
MPPI,7,0.1197468638420105,1.0,1.0,5.342293518362567,14.276391000748845
MPPI,8,0.11230593174695969,1.0,1.0,5.444202255341224,11.681256000883877
MPPI,9,0.10151827335357666,1.0,1.0,5.4878400401212275,29.691053001442924
MPPI,10,0.11405514925718307,1.0,1.0,5.386898605618626,15.080418001161888
MPPI,11,0.048180680721998215,1.0,1.0,5.473580635152757,29.59883099902072
MPPI,12,0.10077531635761261,1.0,1.0,5.491581132169813,9.999959002016112
MPPI,13,0.08468189090490341,1.0,1.0,5.373866010573693,15.350896999734687
MPPI,14,0.3025442957878113,1.0,1.0,5.874513608403504,11.938375999307027
MPPI,15,0.31769898533821106,1.0,1.0,5.898378193960525,11.705823999363929
MPPI,16,0.08050651848316193,1.0,1.0,5.409816642291844,12.952656001289142
MPPI,17,0.10859595984220505,1.0,1.0,5.2964014610042796,16.700765998393763
MPPI,18,0.09926897287368774,1.0,1.0,5.330039160442539,15.105583999684313
MPPI,19,0.1236024722456932,1.0,1.0,5.224626942304894,9.48617500034743
MPPI,20,0.111913301050663,1.0,1.0,5.377889824449085,7.513527998526115
MPPI,21,0.11897401511669159,1.0,1.0,5.434393410338089,7.437504002155038
MPPI,22,0.09222505986690521,1.0,1.0,5.50694276439026,8.143731000018306
MPPI,23,0.3008003830909729,1.0,1.0,5.875886979396455,8.349744999577524
MPPI,24,0.03770133852958679,1.0,1.0,5.355607822188176,7.640580999577651
MPPI,25,0.10787659883499146,1.0,1.0,5.25055432645604,8.23231200047303
MPPI,26,0.08919553458690643,1.0,1.0,5.270064747426659,8.819575999950757
MPPI,27,0.10755456238985062,1.0,1.0,5.446644741808996,8.840565002174117
MPPI,28,0.12252367287874222,1.0,1.0,5.439460032619536,7.3482139996485785
MPPI,29,0.11371175944805145,1.0,1.0,5.394437684444711,7.5766119989566505
MPPI,30,0.05637073144316673,1.0,1.0,5.44217037234921,7.957900998007972
MPPI,31,0.09835159033536911,1.0,1.0,5.359309869236313,7.239141999889398
