Run,RunSeed,RunMinDistance_DRAMPPI,RunMinDistance_DRMPPI,RunMinDistance_MPPI,RunMinDistance_RAMPPI,SafetyViolation_DRAMPPI,SafetyViolation_DRMPPI,SafetyViolation_MPPI,SafetyViolation_RAMPPI,Collision_DRAMPPI,Collision_DRMPPI,Collision_MPPI,Collision_RAMPPI,TotalQSigmaInvStageCost_DRAMPPI,TotalQSigmaInvStageCost_DRMPPI,TotalQSigmaInvStageCost_MPPI,TotalQSigmaInvStageCost_RAMPPI,RunMaxComputeTimeMs_DRAMPPI,RunMaxComputeTimeMs_DRMPPI,RunMaxComputeTimeMs_MPPI,RunMaxComputeTimeMs_RAMPPI,AllOthersCollided,DROnlyNoCollision,DRMinDistanceAdvantage
0,1501552845,0.09556648880243301,0.6807745099067688,0.24085181951522827,0.675189197063446,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,26.489430407062173,27.837417986243963,20.583898102864623,26.84222260862589,38.018133000150556,18.889925002440577,11.58039199799532,19.153075001668185,False,False,0.005585312843322754
1,488200390,0.23732154071331024,0.6023985147476196,0.23506537079811096,0.6479997634887695,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,27.991519587114453,29.783718751743436,20.589456357061863,26.010010046884418,65.33023199881427,33.81505700235721,13.917533000494586,20.957496999471914,False,False,-0.0456012487411499
2,1693606510,0.6053298115730286,0.5650843381881714,0.23754312098026276,0.5217471718788147,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,26.580848157405853,25.801174161955714,20.500183122232556,25.74202099442482,79.17331799762906,86.8240230010997,12.921352001285413,19.335183998919092,False,False,-0.04024547338485718
3,680233354,0.588361918926239,0.6571545600891113,0.23156766593456268,0.5404253602027893,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,25.386658500880003,27.740086659789085,20.39597495086491,28.441191349178553,42.182690998743055,20.999336000386393,26.32231999814394,19.54371299871127,False,False,0.06879264116287231
4,438466540,0.11003388464450836,0.6644319891929626,0.25175848603248596,0.6596183776855469,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,25.87570837326348,26.94619663245976,20.539222478866577,26.64124639518559,35.632070001156535,18.871812000725185,16.12328099872684,18.601029998535523,False,False,0.0048136115074157715
5,1712329280,0.5655879974365234,0.7041816711425781,0.2285192310810089,0.565578818321228,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,25.884808894246817,27.157666832208633,20.49618541263044,26.595922861248255,33.20357799748308,18.869011997594498,10.280703998432728,15.613498999300646,False,False,0.1385936737060547
6,1380152455,0.060555558651685715,0.6177977919578552,0.22453683614730835,0.584894597530365,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,25.44719608873129,27.184075329452753,20.441622145473957,26.433458181098104,31.692335000116145,19.849321997753577,11.953080000239424,15.68047099863179,False,False,0.032903194427490234
7,1452245846,0.161481574177742,0.7084368467330933,0.2350163608789444,0.6707783937454224,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,26.03165696002543,28.904342783614993,20.46425392664969,27.86448896676302,33.53169500041986,18.932301998574985,9.637870000005933,16.601842999079963,False,False,0.0376584529876709
8,2122694021,0.5230203866958618,0.7092456817626953,0.23610353469848633,0.6428715586662292,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,25.67387339286506,27.251597993075848,20.472555965185165,25.683567874133587,36.438205002923496,19.83731899963459,12.841647996538086,15.96906299891998,False,False,0.06637412309646606
9,839901363,0.24600565433502197,0.6806498765945435,0.2314332127571106,0.6451174020767212,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,25.657891096547246,27.314552914351225,20.51300460100174,26.70752007700503,33.45827600060147,22.086194996518316,16.038917998230318,17.21507700131042,False,False,0.035532474517822266
