Algorithm,Method,SourceFile,Run,Seed,SimSteps,Dt,ObsUpdateSteps,RunMinDistance,SafetyViolation,Collision,FirstCollisionStep,CollisionSteps,RunMaxComputeTimeMs,RunMeanComputeTimeMs,WallTimeS,TotalControlEffort,TotalFullCost,TerminalFullCost,TotalQRStageCost,TotalQSigmaInvStageCost,MovingCollisionRadius,MovingSafeRadius,DroneRadius,DrEpsCvar,CvarAlpha,CvarN,RiskCostA,RiskCostCu,SigmaCp,Nmc,OmegaSoft,OmegaHard
MPPI,mppi,mppi_crazyflie.py,0,1501552845,700,0.02,15,0.008645561414593963,1.0,1.0,32,61,204.65658599277958,35.32505985856655,25.051049365021754,57.99048990547118,6577.007458858499,0.12274506039605941,6577.007458858499,6577.007458858499,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,0,488200390,700,0.02,15,0.08026298724243791,0.0,0.0,-1,0,100.40539398323745,37.50980081543925,26.619945727987215,62.247363893638905,1202.8713737269452,0.22646832283512514,1202.8713737269452,1202.8713737269452,0.08,0.08,0.04,,0.95,60.0,5000.0,0.0,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,0,1693606510,700,0.02,15,0.09327342869779208,0.0,0.0,-1,0,51.45804403582588,46.42776740149462,32.859120926004834,62.31105900819923,14031.909855245132,0.9315002964388481,14031.909855245132,14031.909855245132,0.08,0.08,0.04,0.004,0.95,60.0,5000.0,0.0,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,0,680233354,700,0.02,15,0.09084773841226111,0.0,0.0,-1,0,84.11853498546407,42.52557390926605,30.135396681027487,70.76838611382968,11464.060524881963,0.11702003333657318,11464.060524881963,11464.060524881963,0.08,0.08,0.04,,,,,,0.05,60.0,5000.0,1000.0
MPPI,mppi,mppi_crazyflie.py,1,438466540,700,0.02,15,0.011688360497553531,1.0,1.0,33,59,46.73462000209838,40.551967325404156,28.631236682005692,58.12614930847766,6272.265157996009,0.06452584970913797,6272.265157996009,6272.265157996009,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,1,1712329280,700,0.02,15,0.08150049467894761,0.0,0.0,-1,0,51.649479020852596,45.35255958010176,32.113578412972856,61.65412901257387,2409.4210341488533,0.17122346388331025,2409.4210341488533,2409.4210341488533,0.08,0.08,0.04,,0.95,60.0,5000.0,0.0,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,1,1380152455,700,0.02,15,0.09531757669763741,0.0,0.0,-1,0,46.12315696431324,42.22581247142183,29.931904092954937,62.352155118877526,18469.338004794496,0.8371402022956335,18469.338004794496,18469.338004794496,0.08,0.08,0.04,0.004,0.95,60.0,5000.0,0.0,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,1,1452245846,700,0.02,15,0.08087802738417127,0.0,0.0,-1,0,48.09508699690923,44.2424830676256,31.334523932950106,72.84276452412169,7934.4677780416905,0.16779722045883358,7934.4677780416905,7934.4677780416905,0.08,0.08,0.04,,,,,,0.05,60.0,5000.0,1000.0
MPPI,mppi,mppi_crazyflie.py,2,2122694021,700,0.02,15,0.012060333597733735,1.0,1.0,33,58,47.07852698629722,41.37323873574912,29.207615300023463,58.50893684268702,6042.401254769295,0.09744219421165372,6042.401254769295,6042.401254769295,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,2,839901363,700,0.02,15,0.07679459893283165,1.0,1.0,483,2,45.80447601620108,41.72396175854374,29.57482901896583,61.5758827949278,1557.5242997069083,0.17362769908458914,1557.5242997069083,1557.5242997069083,0.08,0.08,0.04,,0.95,60.0,5000.0,0.0,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,2,1802651552,700,0.02,15,0.08832812529011443,0.0,0.0,-1,0,51.64459702791646,45.866565053584054,32.47145392198581,62.788870434984794,20409.36155126757,0.9374586610130959,20409.36155126757,20409.36155126757,0.08,0.08,0.04,0.004,0.95,60.0,5000.0,0.0,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,2,714712467,700,0.02,15,0.08793938075078497,0.0,0.0,-1,0,48.13919198932126,43.29232476734823,30.670890523004346,69.92909868248697,14523.50688786409,0.114818383033785,14523.50688786409,14523.50688786409,0.08,0.08,0.04,,,,,,0.05,60.0,5000.0,1000.0
MPPI,mppi,mppi_crazyflie.py,3,1218704077,700,0.02,15,0.01261538633284588,1.0,1.0,33,60,42.02642600284889,38.567728160581154,27.245637675048783,57.753580943313025,6647.510104330383,0.1032257292925084,6647.510104330383,6647.510104330383,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,3,1284858263,700,0.02,15,0.07615527789058536,1.0,1.0,483,2,50.39802298415452,45.08228352875449,31.924774746003095,61.718844495073014,1263.8377033004595,0.19285588412816979,1263.8377033004595,1263.8377033004595,0.08,0.08,0.04,,0.95,60.0,5000.0,0.0,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,3,457721135,700,0.02,15,0.09748374170357361,0.0,0.0,-1,0,50.891591992694885,44.09838580908919,31.239579321001656,64.42553889296128,19436.1305186091,0.8993289232940175,19436.1305186091,19436.1305186091,0.08,0.08,0.04,0.004,0.95,60.0,5000.0,0.0,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,3,401008609,700,0.02,15,0.08679886770335198,0.0,0.0,-1,0,46.956666046753526,42.56942602340132,30.180811285041273,67.39626137714478,11254.584396143293,0.12542937074513769,11254.584396143293,11254.584396143293,0.08,0.08,0.04,,,,,,0.05,60.0,5000.0,1000.0
MPPI,mppi,mppi_crazyflie.py,4,492064534,700,0.02,15,0.015092379738687968,1.0,1.0,32,60,47.577943012584,42.09177860233467,29.718560084991623,57.553122991181695,4261.661697164853,0.08939699344501824,4261.661697164853,4261.661697164853,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,4,1444732602,700,0.02,15,0.09294316704629382,0.0,0.0,-1,0,51.20330204954371,44.448400005764725,31.49016775097698,61.627214580647944,2122.8552114548634,0.24106045236288437,2122.8552114548634,2122.8552114548634,0.08,0.08,0.04,,0.95,60.0,5000.0,0.0,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,4,1317426686,700,0.02,15,0.08942690594216905,0.0,0.0,-1,0,46.53047601459548,41.74377910867666,29.60336087201722,62.80947521795959,17706.41144531142,0.9063722680319823,17706.41144531142,17706.41144531142,0.08,0.08,0.04,0.004,0.95,60.0,5000.0,0.0,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,4,2022506251,700,0.02,15,0.08031857008667877,0.0,0.0,-1,0,48.33421600051224,43.40044263259707,30.757793149969075,67.1129033264896,11434.975514236145,0.1747373068039426,11434.975514236145,11434.975514236145,0.08,0.08,0.04,,,,,,0.05,60.0,5000.0,1000.0
MPPI,mppi,mppi_crazyflie.py,5,1516459118,700,0.02,15,0.01005178367983939,1.0,1.0,32,52,57.26255802437663,43.67455754537202,30.822909652022645,58.01836310351764,6136.140378086253,0.12409239146276535,6136.140378086253,6136.140378086253,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,5,533103612,700,0.02,15,0.06985347598204353,1.0,1.0,483,4,45.4408319783397,41.90028257335403,29.7039422809612,61.85930989211198,1289.6716931658207,0.23532068766971653,1289.6716931658207,1289.6716931658207,0.08,0.08,0.04,,0.95,60.0,5000.0,0.0,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,5,1964759878,700,0.02,15,0.092873093498492,0.0,0.0,-1,0,46.1374549777247,42.23765594385831,29.938215936999768,63.10365964257075,18612.7224234271,0.6651904907453653,18612.7224234271,18612.7224234271,0.08,0.08,0.04,0.004,0.95,60.0,5000.0,0.0,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,5,2037706756,700,0.02,15,0.08309064480771851,0.0,0.0,-1,0,48.10568696120754,45.4983727806913,32.22451195400208,67.87505661257126,10387.609979309233,0.14520169139270128,10387.609979309233,10387.609979309233,0.08,0.08,0.04,,,,,,0.05,60.0,5000.0,1000.0
MPPI,mppi,mppi_crazyflie.py,6,1572889065,700,0.02,15,0.013109288947798408,1.0,1.0,33,59,42.39424003753811,38.61972337272683,27.284033973992337,57.595613395524815,4771.938744325217,0.14117063881225256,4771.938744325217,4771.938744325217,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,6,1432881518,700,0.02,15,0.08240264788939727,0.0,0.0,-1,0,45.8214629907161,41.70463604628042,29.576235398009885,62.930587905157495,1283.4825545889391,0.23544924100492157,1283.4825545889391,1283.4825545889391,0.08,0.08,0.04,,0.95,60.0,5000.0,0.0,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,6,280516901,700,0.02,15,0.0938277310698948,0.0,0.0,-1,0,51.28985195187852,44.9425258924852,31.833618382981513,63.48117724676604,19056.453827582296,0.6745027241174727,19056.453827582296,19056.453827582296,0.08,0.08,0.04,0.004,0.95,60.0,5000.0,0.0,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,6,205939248,700,0.02,15,0.07560727852545338,1.0,1.0,484,2,47.82666900428012,43.94853654700065,31.135969650000334,71.15389373426902,8502.808937501532,0.10814148636382197,8502.808937501532,8502.808937501532,0.08,0.08,0.04,,,,,,0.05,60.0,5000.0,1000.0
MPPI,mppi,mppi_crazyflie.py,7,571904914,700,0.02,15,0.012805875506258436,1.0,1.0,32,52,42.30243299389258,38.47721068712417,27.18240362900542,57.768988518946315,5089.179380359594,0.12232951475223061,5089.179380359594,5089.179380359594,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,7,948843457,700,0.02,15,0.0864559627834192,0.0,0.0,-1,0,45.7776720286347,41.71315183979459,29.572039803955704,62.21288042113599,1360.9016287118889,0.23484109872041414,1360.9016287118889,1360.9016287118889,0.08,0.08,0.04,,0.95,60.0,5000.0,0.0,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,7,155492488,700,0.02,15,0.09438680666813427,0.0,0.0,-1,0,51.51535104960203,47.59755173589968,33.68533036496956,63.407959933981374,19681.987617382318,0.8744730019097361,19681.987617382318,19681.987617382318,0.08,0.08,0.04,0.004,0.95,60.0,5000.0,0.0,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,7,1903701130,700,0.02,15,0.07559184713867151,1.0,1.0,483,3,46.95013299351558,42.739957520804765,30.292812351020984,65.95876672414732,15062.52768976401,0.1412950660903322,15062.52768976401,15062.52768976401,0.08,0.08,0.04,,,,,,0.05,60.0,5000.0,1000.0
MPPI,mppi,mppi_crazyflie.py,8,1017961266,700,0.02,15,0.015073694722170173,1.0,1.0,33,60,42.44285199092701,38.4677323163487,27.175359793007374,58.83488061056809,3900.7997681215215,0.09805488305294985,3900.7997681215215,3900.7997681215215,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,8,1497769985,700,0.02,15,0.08357410402353137,0.0,0.0,-1,0,50.40950397960842,41.35498522456536,29.319315547996666,61.69204899283312,2014.7293978297143,0.14036634625385497,2014.7293978297143,2014.7293978297143,0.08,0.08,0.04,,0.95,60.0,5000.0,0.0,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,8,456523489,700,0.02,15,0.0956530717125601,0.0,0.0,-1,0,51.99369299225509,46.22452139347193,32.72652487497544,62.23134932084854,21659.92226616976,0.9914252526152699,21659.92226616976,21659.92226616976,0.08,0.08,0.04,0.004,0.95,60.0,5000.0,0.0,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,8,701095136,700,0.02,15,0.08779013425693429,0.0,0.0,-1,0,47.223191999364644,42.61109917424619,30.20033142704051,68.55547107828588,3698.2816836087986,0.1844147590658625,3698.2816836087986,3698.2816836087986,0.08,0.08,0.04,,,,,,0.05,60.0,5000.0,1000.0
MPPI,mppi,mppi_crazyflie.py,9,249069576,700,0.02,15,0.005354894259781193,1.0,1.0,33,61,42.2367780120112,38.46137202727342,27.17237283900613,58.216602904780714,5430.094303063485,0.08494501926488474,5430.094303063485,5430.094303063485,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,9,1576098728,700,0.02,15,0.07879185261245314,1.0,1.0,484,2,51.089593034703285,44.98738746532971,31.861289069987833,62.00989192465927,2030.881157179613,0.2206583293131173,2030.881157179613,2030.881157179613,0.08,0.08,0.04,,0.95,60.0,5000.0,0.0,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,9,1662748500,700,0.02,15,0.10033775054221471,0.0,0.0,-1,0,51.42673704540357,44.06109962570814,31.214506515010726,63.50298434991026,16045.397357020818,0.8209808140156095,16045.397357020818,16045.397357020818,0.08,0.08,0.04,0.004,0.95,60.0,5000.0,0.0,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,9,472736216,700,0.02,15,0.07901174926350764,1.0,1.0,218,1,47.08055697847158,42.73000581630705,30.286594184988644,67.07698418018944,34726.722219528514,0.1443137655296225,34726.722219528514,34726.722219528514,0.08,0.08,0.04,,,,,,0.05,60.0,5000.0,1000.0
