Algorithm,Method,SourceFile,Run,Seed,SimSteps,Dt,ObsUpdateSteps,RunMinDistance,SafetyViolation,Collision,FirstCollisionStep,CollisionSteps,RunMaxComputeTimeMs,RunMeanComputeTimeMs,WallTimeS,TotalControlEffort,TotalFullCost,TerminalFullCost,TotalTrackingControlCost,TerminalTrackingCost,TotalQRStageCost,TotalQSigmaInvStageCost,MovingCollisionRadius,MovingSafeRadius,DroneRadius,DrEpsCvar,CvarAlpha,CvarN,RiskCostA,RiskCostCu,SigmaCp,Nmc,OmegaSoft,OmegaHard
MPPI,mppi,mppi_crazyflie.py,0,1501552845,520,0.02,15,0.0632052101629824,1.0,1.0,54,17,184.93021395988762,28.699823275495035,15.523088133893907,48.19577971179842,15262.876203147489,3.528179400682497,1772.6599295079511,3.528179400682497,1772.6599295079511,1772.6599295079511,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,0,488200390,520,0.02,15,0.0823294160226751,0.0,0.0,-1,0,90.27280495502055,30.272775444273766,16.331525842892006,53.1731227720411,1543.775494345199,0.06986405100482368,1429.797449861632,0.06986405100482368,1429.797449861632,1429.797449861632,0.08,0.08,0.04,,0.95,10.0,2000.0,,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,0,1693606510,520,0.02,15,0.08521956309824899,0.0,0.0,-1,0,39.35606614686549,31.588728646210466,16.991306506097317,57.58990777181644,3428.826066346492,0.7884583289070576,1921.5437038063478,0.7884583289070576,1921.5437038063478,1921.5437038063478,0.08,0.08,0.04,0.0015,0.95,10.0,2000.0,,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,0,680233354,520,0.02,15,0.07304798019234915,1.0,1.0,49,5,83.12051207758486,31.166182766005825,16.795021980069578,57.06701084161574,11885.349782070325,0.8385102478876947,1230.6462715857153,0.8385102478876947,1230.6462715857153,1230.6462715857153,0.08,0.08,0.04,,,,,,0.05,10.0,3500.0,1000.0
MPPI,mppi,mppi_crazyflie.py,1,438466540,520,0.02,15,0.05866274541194528,1.0,1.0,54,24,31.55495412647724,28.127684683735986,15.157740006921813,48.05334007685195,14930.52693864838,3.581646450900337,1743.6623845694555,3.581646450900337,1743.6623845694555,1743.6623845694555,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,1,1712329280,520,0.02,15,0.07411968693786783,1.0,1.0,477,4,34.18056690134108,30.698400189150842,16.53971675899811,50.67165434149054,1361.748846892026,0.09811385594811695,1236.2969243872699,0.09811385594811695,1236.2969243872699,1236.2969243872699,0.08,0.08,0.04,,0.95,10.0,2000.0,,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,1,1380152455,520,0.02,15,0.09194627521448265,0.0,0.0,-1,0,34.6528640948236,31.12765852890264,16.753045232966542,54.527948619265665,2503.628973750719,0.3308749372666708,1636.9282955508897,0.3308749372666708,1636.9282955508897,1636.9282955508897,0.08,0.08,0.04,0.0015,0.95,10.0,2000.0,,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,1,1452245846,520,0.02,15,0.07468012185536707,1.0,1.0,50,8,33.865598030388355,30.53348294745844,16.488792561925948,56.27957839095233,22152.11000851329,0.1788543216735538,1077.9146537876275,0.1788543216735538,1077.9146537876275,1077.9146537876275,0.08,0.08,0.04,,,,,,0.05,10.0,3500.0,1000.0
MPPI,mppi,mppi_crazyflie.py,2,2122694021,520,0.02,15,0.05495124741649345,1.0,1.0,54,20,31.93453000858426,27.76040685040733,14.982574853813276,48.498119336029504,14892.8172130248,3.816601950964878,1743.0184544022231,3.816601950964878,1743.0184544022231,1743.0184544022231,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,2,839901363,520,0.02,15,0.08336670162813052,0.0,0.0,-1,0,34.89993512630463,31.715748245523383,17.044905266957358,52.70395041875422,1409.4010955174758,0.09231987377474007,1331.9738219759947,0.09231987377474007,1331.9738219759947,1331.9738219759947,0.08,0.08,0.04,,0.95,10.0,2000.0,,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,2,1802651552,520,0.02,15,0.08667025143055372,0.0,0.0,-1,0,36.473219050094485,32.83007795197101,17.629015282029286,55.531476656786694,2966.5901803420857,0.27125843456896875,1650.9048451587914,0.27125843456896875,1650.9048451587914,1650.9048451587914,0.08,0.08,0.04,0.0015,0.95,10.0,2000.0,,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,2,714712467,520,0.02,15,0.08127224630031735,0.0,0.0,-1,0,39.02868600562215,33.62029253576811,18.0457804009784,57.061341309625185,7298.06520449272,0.40798056918360115,1207.017004442363,0.40798056918360115,1207.017004442363,1207.017004442363,0.08,0.08,0.04,,,,,,0.05,10.0,3500.0,1000.0
MPPI,mppi,mppi_crazyflie.py,3,1218704077,520,0.02,15,0.0635232808575171,1.0,1.0,54,19,34.40251084975898,30.155436708054577,16.213370327139273,48.2599041973008,15142.645634354258,3.759034157511534,1769.6086287164612,3.759034157511534,1769.6086287164612,1769.6086287164612,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,3,1284858263,520,0.02,15,0.08612499428232454,0.0,0.0,-1,0,36.298022139817476,32.12169100476716,17.284956000046805,51.776791323841806,1313.9244633874605,0.125702648491689,1290.9303440323408,0.125702648491689,1290.9303440323408,1290.9303440323408,0.08,0.08,0.04,,0.95,10.0,2000.0,,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,3,457721135,520,0.02,15,0.0893715312223297,0.0,0.0,-1,0,34.84181920066476,30.941951852470922,16.681401801062748,54.274738001193015,3389.8098624002655,0.05324429191462015,1603.2533099202412,0.05324429191462015,1603.2533099202412,1603.2533099202412,0.08,0.08,0.04,0.0015,0.95,10.0,2000.0,,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,3,401008609,520,0.02,15,0.06132911402033177,1.0,1.0,50,11,35.42444086633623,31.380111857568128,16.912933013169095,57.67936910404899,13874.668705307919,0.0713227887379959,1241.9046790600314,0.0713227887379959,1241.9046790600314,1241.9046790600314,0.08,0.08,0.04,,,,,,0.05,10.0,3500.0,1000.0
MPPI,mppi,mppi_crazyflie.py,4,492064534,520,0.02,15,0.04744274994549929,1.0,1.0,54,21,36.379882134497166,28.546554632843115,15.374631891027093,48.15632371080107,15068.039144438904,3.144690874593258,1702.3922511217606,3.144690874593258,1702.3922511217606,1702.3922511217606,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,4,1444732602,520,0.02,15,0.08272328205494447,0.0,0.0,-1,0,34.56821106374264,30.80484829753494,16.57556959311478,50.3936646568646,1461.6501453798269,0.024363102997987267,1276.3965351294337,0.024363102997987267,1276.3965351294337,1276.3965351294337,0.08,0.08,0.04,,0.95,10.0,2000.0,,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,4,1317426686,520,0.02,15,0.08329057278269963,0.0,0.0,-1,0,37.775008007884026,29.297011020109775,15.806932404171675,54.941004224642526,3894.9290125672705,0.19904005840872685,1712.4789721608013,0.19904005840872685,1712.4789721608013,1712.4789721608013,0.08,0.08,0.04,0.0015,0.95,10.0,2000.0,,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,4,2022506251,520,0.02,15,0.07035048370108704,1.0,1.0,391,11,34.136952832341194,30.2127755967936,16.28182939812541,57.48697269613109,33525.207856785346,0.0899305771753284,1062.1191483438101,0.0899305771753284,1062.1191483438101,1062.1191483438101,0.08,0.08,0.04,,,,,,0.05,10.0,3500.0,1000.0
MPPI,mppi,mppi_crazyflie.py,5,1516459118,520,0.02,15,0.053194009765697055,1.0,1.0,54,22,29.40555103123188,26.122600099859902,14.111877487041056,48.40370749746597,15156.426851285,3.4470506841305326,1708.437454015437,3.4470506841305326,1708.437454015437,1708.437454015437,0.08,0.08,0.04,,,,,,,,,
