Algorithm,Run,RunMinDistance,SafetyViolation,Collision,TotalTrackingControlCost,TotalQSigmaInvStageCost,TotalQRStageCost,RunMaxComputeTimeMs
MPPI,0,-0.1502825915813446,1.0,1.0,6.321479997830465,6.321479997830465,6.321479997830465,28.395710978657007
MPPI,1,-0.1683681458234787,1.0,1.0,6.236419907072559,6.236419907072559,6.236419907072559,18.808275926858187
MPPI,2,-0.1567779928445816,1.0,1.0,6.236374232801609,6.236374232801609,6.236374232801609,18.682064954191446
MPPI,3,-0.13890138268470764,1.0,1.0,6.694687750772573,6.694687750772573,6.694687750772573,18.241151003167033
MPPI,4,-0.30000001192092896,1.0,1.0,7.049172455095686,7.049172455095686,7.049172455095686,18.141234992071986
MPPI,5,-0.15490275621414185,1.0,1.0,6.215504657360725,6.215504657360725,6.215504657360725,18.78900220617652
MPPI,6,-0.15576964616775513,1.0,1.0,6.336850910913199,6.336850910913199,6.336850910913199,18.435946898534894
MPPI,7,-0.16400308907032013,1.0,1.0,6.170893074944615,6.170893074944615,6.170893074944615,18.737687030807137
MPPI,8,-0.14033211767673492,1.0,1.0,6.525692070834339,6.525692070834339,6.525692070834339,18.69470300152898
MPPI,9,-0.1501426100730896,1.0,1.0,6.237954345997423,6.237954345997423,6.237954345997423,18.70587095618248
MPPI,10,-0.15616559982299805,1.0,1.0,6.481580029707402,6.481580029707402,6.481580029707402,18.427023198455572
MPPI,11,-0.1648830622434616,1.0,1.0,6.1425367458723485,6.1425367458723485,6.1425367458723485,18.455392913892865
MPPI,12,-0.14248763024806976,1.0,1.0,6.073526527616195,6.073526527616195,6.073526527616195,19.593775970861316
MPPI,13,-0.1554294377565384,1.0,1.0,6.229692862019874,6.229692862019874,6.229692862019874,18.477745121344924
MPPI,14,-0.15408650040626526,1.0,1.0,6.2547369269886985,6.2547369269886985,6.2547369269886985,18.50274601019919
MPPI,15,-0.15786829590797424,1.0,1.0,6.274353968910873,6.274353968910873,6.274353968910873,18.80823587998748
MPPI,16,-0.17835116386413574,1.0,1.0,6.578428742242977,6.578428742242977,6.578428742242977,37.80721197836101
MPPI,17,-0.1502103954553604,1.0,1.0,6.127981284749694,6.127981284749694,6.127981284749694,26.043611811473966
MPPI,18,-0.15215812623500824,1.0,1.0,6.687933356850408,6.687933356850408,6.687933356850408,36.05803684331477
MPPI,19,-0.14123417437076569,1.0,1.0,6.160373133025132,6.160373133025132,6.160373133025132,18.633008934557438
MPPI,20,-0.1509454995393753,1.0,1.0,6.244577738572843,6.244577738572843,6.244577738572843,19.256279105320573
MPPI,21,-0.30000001192092896,1.0,1.0,6.359885308891535,6.359885308891535,6.359885308891535,54.28167199715972
MPPI,22,-0.1366015523672104,1.0,1.0,6.722871172707528,6.722871172707528,6.722871172707528,32.57920197211206
MPPI,23,-0.15995894372463226,1.0,1.0,6.293857576092705,6.293857576092705,6.293857576092705,24.071458959951997
MPPI,24,-0.13513906300067902,1.0,1.0,6.633539892733097,6.633539892733097,6.633539892733097,19.366702064871788
MPPI,25,-0.16104097664356232,1.0,1.0,6.316638781572692,6.316638781572692,6.316638781572692,19.246533047407866
MPPI,26,-0.038976479321718216,1.0,1.0,5.820975835318677,5.820975835318677,5.820975835318677,19.536755979061127
MPPI,27,-0.1451815962791443,1.0,1.0,6.185510837822221,6.185510837822221,6.185510837822221,18.96320399828255
MPPI,28,-0.1451704353094101,1.0,1.0,6.694828116800636,6.694828116800636,6.694828116800636,18.546886974945664
MPPI,29,-0.15097534656524658,1.0,1.0,6.2363584857666865,6.2363584857666865,6.2363584857666865,18.60854891128838
MPPI,30,-0.1430232971906662,1.0,1.0,6.127014994970523,6.127014994970523,6.127014994970523,18.821573117747903
MPPI,31,-0.15827634930610657,1.0,1.0,6.339489195263013,6.339489195263013,6.339489195263013,19.25817085430026
MPPI,32,-0.15822124481201172,1.0,1.0,6.226259739371017,6.226259739371017,6.226259739371017,20.01827908679843
MPPI,33,-0.15878213942050934,1.0,1.0,6.284092201967724,6.284092201967724,6.284092201967724,18.58868612907827
MPPI,34,-0.15491463243961334,1.0,1.0,6.460542508400977,6.460542508400977,6.460542508400977,26.059051975607872
MPPI,35,-0.15789927542209625,1.0,1.0,6.233322075684555,6.233322075684555,6.233322075684555,21.5278088580817
MPPI,36,-0.15554535388946533,1.0,1.0,6.2997120168292895,6.2997120168292895,6.2997120168292895,18.772999988868833
MPPI,37,-0.30000001192092896,1.0,1.0,6.516649561817758,6.516649561817758,6.516649561817758,34.76654808036983
MPPI,38,-0.24766942858695984,1.0,1.0,6.681100776651874,6.681100776651874,6.681100776651874,24.19717889279127
MPPI,39,-0.14949434995651245,1.0,1.0,6.2220752676948905,6.2220752676948905,6.2220752676948905,18.672290025278926
MPPI,40,-0.19424854218959808,1.0,1.0,6.1870068843709305,6.1870068843709305,6.1870068843709305,19.11998982541263
MPPI,41,-0.13382858037948608,1.0,1.0,6.525335556943901,6.525335556943901,6.525335556943901,18.49746098741889
MPPI,42,-0.30000001192092896,1.0,1.0,6.442472167080268,6.442472167080268,6.442472167080268,25.294292019680142
MPPI,43,-0.17900456488132477,1.0,1.0,6.299981897580437,6.299981897580437,6.299981897580437,19.074610900133848
MPPI,44,-0.15272890031337738,1.0,1.0,6.298271115985699,6.298271115985699,6.298271115985699,29.99446215108037
MPPI,45,-0.15089105069637299,1.0,1.0,6.66354476637207,6.66354476637207,6.66354476637207,19.57341399975121
MPPI,46,-0.16787390410900116,1.0,1.0,6.302503416663967,6.302503416663967,6.302503416663967,20.442563109099865
MPPI,47,-0.13662871718406677,1.0,1.0,6.198189885006286,6.198189885006286,6.198189885006286,36.60103213042021
MPPI,48,-0.016666527837514877,1.0,1.0,6.320853574201465,6.320853574201465,6.320853574201465,19.27556679584086
MPPI,49,-0.15745781362056732,1.0,1.0,6.128512239316478,6.128512239316478,6.128512239316478,18.78209598362446
MPPI,50,-0.1563568115234375,1.0,1.0,6.151601724559441,6.151601724559441,6.151601724559441,18.803963204845786
MPPI,51,-0.1530415415763855,1.0,1.0,6.188658086466603,6.188658086466603,6.188658086466603,23.645197972655296
MPPI,52,-0.1565200686454773,1.0,1.0,6.12246969237458,6.12246969237458,6.12246969237458,18.570227082818747
MPPI,53,-0.14544367790222168,1.0,1.0,6.60951511701569,6.60951511701569,6.60951511701569,18.42380501329899
MPPI,54,-0.16230526566505432,1.0,1.0,6.48712267074734,6.48712267074734,6.48712267074734,21.99478494003415
MPPI,55,-0.016158809885382652,1.0,1.0,5.934813624480739,5.934813624480739,5.934813624480739,24.34958005324006
MPPI,56,-0.1307559460401535,1.0,1.0,6.626383611815982,6.626383611815982,6.626383611815982,18.56704312376678
MPPI,57,-0.1523808091878891,1.0,1.0,6.160798035911284,6.160798035911284,6.160798035911284,26.91894699819386
MPPI,58,-0.15462636947631836,1.0,1.0,6.127876706537791,6.127876706537791,6.127876706537791,34.05623300932348
MPPI,59,-0.15613605082035065,1.0,1.0,6.333391257212497,6.333391257212497,6.333391257212497,18.915312830358744
